,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams
0,0.061,0.927,343150,0.665,0.0,11,0.12300000000000001,-5.313,1,0.244,127.07600000000001,4,0.175,211518962
1,0.10800000000000001,0.927,210937,0.488,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605,172764719
2,0.165,0.6809999999999999,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,143385876
3,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.6609999999999999,137009517
4,0.13,0.794,291893,0.6459999999999999,0.0,0,0.14,-6.235,1,0.0614,145.931,4,0.322,83817471
5,0.23600000000000002,0.8859999999999999,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708,117737969
6,0.00784,0.7909999999999999,173987,0.619,0.004229999999999999,1,0.35100000000000003,-5.886,1,0.0532,103.98899999999999,4,0.371,96640713
7,0.174,0.9520000000000001,209640,0.318,0.0,10,0.205,-10.357000000000001,1,0.467,120.07700000000001,4,0.665,2338531
8,0.0784,0.47600000000000003,205947,0.718,1.0199999999999999e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,39695589
9,0.105,0.77,222360,0.5670000000000001,0.0,2,0.125,-5.6979999999999995,1,0.175,81.477,4,0.26,186239735
10,0.42700000000000005,0.768,269187,0.813,0.0,0,0.102,-5.94,0,0.128,92.994,4,0.579,105447990
11,0.034,0.818,225983,0.8029999999999999,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,76131338
12,0.21,0.675,239293,0.69,0.0,2,0.287,-4.761,1,0.132,137.817,4,0.272,65284798
13,0.373,0.835,258880,0.413,0.00133,1,0.10099999999999999,-9.81,1,0.396,149.004,4,0.111,106965611
14,0.0631,0.735,245200,0.451,1.3000000000000001e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862,148007471
15,0.33799999999999997,0.7829999999999999,214480,0.623,0.0,7,0.0975,-6.126,1,0.08,100.04799999999999,4,0.447,37328961
16,0.0312,0.8859999999999999,177184,0.42700000000000005,0.00099,6,0.0906,-10.027999999999999,1,0.145,108.03399999999999,4,0.23,66271644
17,0.361,0.653,264747,0.409,0.00011999999999999999,9,0.18899999999999997,-11.446,1,0.42100000000000004,174.324,4,0.187,46024961
18,0.5329999999999999,0.635,234650,0.847,0.0,7,0.154,-3.1519999999999997,1,0.447,166.072,4,0.568,17726724
19,0.18100000000000002,0.585,249213,0.612,1.0300000000000001e-05,1,0.293,-8.341000000000001,1,0.0806,77.487,4,0.188,54788240
20,0.156,0.652,304607,0.795,0.0,11,0.12300000000000001,-5.192,0,0.174,135.018,4,0.7879999999999999,97668135
21,0.136,0.9059999999999999,235040,0.444,6.440000000000001e-05,4,0.17300000000000001,-8.692,0,0.384,140.063,4,0.6779999999999999,73416475
22,0.371,0.636,181880,0.633,0.0,4,0.102,-4.23,1,0.126,99.721,4,0.512,61669146
23,0.16,0.542,208053,0.8590000000000001,0.00466,11,0.13699999999999998,-5.651,1,0.19699999999999998,159.797,4,0.40299999999999997,52637955
24,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.882999999999999,0,0.247,159.145,4,0.603,47518424
25,0.12300000000000001,0.624,187973,0.8029999999999999,0.0,10,0.114,-4.105,0,0.24600000000000002,166.018,4,0.821,23038808
26,0.0592,0.49,195840,0.485,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196,39902615
27,0.00479,0.804,251333,0.56,0.0,8,0.16399999999999998,-6.682,1,0.185,85.023,4,0.272,34419695
28,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,38009957
29,0.10300000000000001,0.8029999999999999,214480,0.585,3.94e-06,8,0.0644,-5.861000000000001,1,0.0432,105.01700000000001,4,0.593,21097418
30,0.0841,0.732,195920,0.396,3.5799999999999996e-05,4,0.105,-9.347999999999999,0,0.0286,90.024,4,0.5479999999999999,50226233
31,0.069,0.843,163944,0.359,0.0,0,0.12,-7.417000000000001,1,0.461,81.98700000000001,4,0.156,74207159
32,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358,11655918
33,0.0573,0.804,263373,0.648,3.4899999999999995e-05,7,0.102,-7.805,1,0.11699999999999999,117.98299999999999,4,0.392,31164107
