,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0.061,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175
1,0.108,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605
2,0.165,0.681,230453,0.594,5aAx2yezTd8zXrkmtKl66Z,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
3,0.414,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
4,0.13,0.794,291893,0.646,6fujklziTHa8uoM5OQSfIo,0.0,0,0.14,-6.235,1,0.0614,145.931,4,0.322
5,0.236,0.886,225205,0.525,7yyRTcZmCiyzzJlNzGC9Ol,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
6,0.00784,0.791,173987,0.619,1xznGGDReH1oQq0xzbwXa3,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371
7,0.174,0.952,209640,0.318,7FB8l7UA1HKqnuSLjP9qDc,0.0,10,0.205,-10.357,1,0.467,120.077,4,0.665
8,0.0784,0.476,205947,0.718,4pdPtRcBmOSQDlJ3Fk945m,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
9,0.105,0.77,222360,0.567,0SGkqnVQo9KPytSri1H6cF,0.0,2,0.125,-5.698,1,0.175,81.477,4,0.26
10,0.427,0.768,269187,0.813,5GXAXm5YOmYT0kL5jHvYBt,0.0,0,0.102,-5.94,0,0.128,92.994,4,0.579
11,0.034,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
12,0.21,0.675,239293,0.69,1PSBzsahR2AKwLJgx8ehBj,0.0,2,0.287,-4.761,1,0.132,137.817,4,0.272
13,0.373,0.835,258880,0.413,6fwdbPMwP1zVStm8FybmkO,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111
14,0.0631,0.735,245200,0.451,3NdDpSvN911VPGivFlV5d0,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
15,0.338,0.783,214480,0.623,5MFzQMkrl1FOOng9tq6R9r,0.0,7,0.0975,-6.126,1,0.08,100.048,4,0.447
16,0.0312,0.886,177184,0.427,5uDASfU19gDxSjW8cnCaBp,0.00099,6,0.0906,-10.028,1,0.145,108.034,4,0.23
17,0.361,0.653,264747,0.409,6I6NX6tjGsxFAsIfGzY9lJ,0.00012,9,0.189,-11.446,1,0.421,174.324,4,0.187
18,0.533,0.635,234650,0.847,7JYsArznYOjX2jsrT3UEnL,0.0,7,0.154,-3.152,1,0.447,166.072,4,0.568
19,0.181,0.585,249213,0.612,4F7A0DXBrmUAkp32uenhZt,1.03e-05,1,0.293,-8.341,1,0.0806,77.487,4,0.188
20,0.156,0.652,304607,0.795,0v9Wz8o0BT8DU38R4ddjeH,0.0,11,0.123,-5.192,0,0.174,135.018,4,0.788
21,0.136,0.906,235040,0.444,4gmmRb6bZJffOOiww1JGTO,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,0.678
22,0.371,0.636,181880,0.633,1qOLh0tI7trd1zdDKxYZTe,0.0,4,0.102,-4.23,1,0.126,99.721,4,0.512
23,0.16,0.542,208053,0.859,0QsvXIfqM0zZoerQfsI9lm,0.00466,11,0.137,-5.651,1,0.197,159.797,4,0.403
24,0.0408,0.648,226160,0.738,4pLwZjInHj3SimIyN9SnOz,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603
25,0.123,0.624,187973,0.803,4Hf7WnR761jpxPr5D46Bcd,0.0,10,0.114,-4.105,0,0.246,166.018,4,0.821
26,0.0592,0.49,195840,0.485,04DwTuZ2VBdJCCC5TROn7L,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196
27,0.00479,0.804,251333,0.56,4ckuS4Nj4FZ7i3Def3Br8W,0.0,8,0.164,-6.682,1,0.185,85.023,4,0.272
28,0.0123,0.667,236002,0.83,6JV2JOEocMgcZxYSZelKcc,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
29,0.103,0.803,214480,0.585,4tCtwWceOPWzenK2HAIJSb,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593
30,0.0841,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
31,0.069,0.843,163944,0.359,2ANLarE8yHVsLWW21nj79M,0.0,0,0.12,-7.417,1,0.461,81.987,4,0.156
32,0.0161,0.636,244453,0.727,7yHEDfrJNd0zWOfXwydNH0,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358
33,0.0573,0.804,263373,0.648,11KJSRSgaDxqydKYiD2Jew,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392
34,0.0773,0.607,245227,0.476,6F609ICg9Spjrw1epsAnpa,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.347
35,0.199,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465
36,0.695,0.358,211467,0.557,5uCax9HTNlzGybIStD3vDh,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
37,0.097,0.662,194080,0.586,2rizacJSyD9S1IQUxUxnsK,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,0.296
38,0.114,0.711,252256,0.739,20dP2DaMHIAmwWAbp7peSr,0.0,7,0.226,-3.804,0,0.129,136.919,4,0.43
39,0.378,0.746,253107,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
40,0.0472,0.628,211667,0.698,27SdWb2rFzO6GWiYDBTD9j,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732
41,0.107,0.688,191600,0.325,1Tt4sE4pXi57mTD1GCzsqm,0.0,5,0.0837,-8.083,0,0.251,110.888,4,0.275
42,0.0736,0.608,185352,0.798,6DNtNfH8hXkqOX1sjqmI7p,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501
43,0.028,0.576,246761,0.766,5OOkp4U9P9oL23maHFHL1h,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236
44,0.0294,0.591,230227,0.741,0prNGof3XqfTvNDxHonvdK,0.0,0,0.11,-5.751,1,0.139,97.048,4,0.452
45,0.137,0.469,208733,0.68,4TZy1wLyHec06pwgFYDh1a,0.0,11,0.11,-4.921,0,0.117,147.734,4,0.374
46,0.358,0.894,216520,0.284,0utlOiJy2weVl9WTkcEWHy,0.000487,11,0.11,-13.002,0,0.33,138.944,4,0.413
47,0.0752,0.725,219320,0.534,14WWzenpaEgQZlqPq2nk4v,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558
48,0.0623,0.676,222041,0.843,78rIJddV4X0HkNAInEcYde,0.000752,0,0.181,-4.068,1,0.0367,105.003,4,0.718
49,0.215,0.678,208120,0.317,6mapJIPnQ23RTAevUoE0DL,4.31e-05,8,0.101,-9.427,1,0.0583,140.009,4,0.16
50,0.102,0.768,237573,0.485,4mU5iXHeLgbR94siF7p1sY,0.0,6,0.128,-8.435,0,0.0825,140.016,4,0.289
51,0.157,0.314,175517,0.555,5hYTyyh2odQKphUbMqc5gN,0.000108,9,0.067,-9.601,1,0.37,179.666,4,0.159
52,0.0415,0.69,223080,0.524,4BHzQ9C00ceJxfG16AlNWb,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562
53,0.591,0.488,210293,0.762,6nxQdXa1uAL0rY72wPZu89,0.0,8,0.0763,-3.842,1,0.0865,123.889,4,0.709
54,0.835,0.609,233720,0.378,3hB5DgAiMAQ4DzYbsMq1IT,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515
